IP Address, Port, TLS, Data Center, Region, City, ASN, latency
167.160.188.156,443,true,CA,N/A,-,,-
179.255.184.6,443,true,CA,N/A,-,,-
40.233.87.120,443,true,CA,N/A,-,,-
72.11.146.199,443,true,CA,N/A,-,,-
172.98.207.58,443,true,CA,N/A,-,,-
40.233.116.225,443,true,CA,N/A,-,,-
159.203.2.180,443,true,CA,N/A,-,,-
40.233.110.251,443,true,CA,N/A,-,,-
45.133.16.41,443,true,CA,N/A,-,,-
155.248.216.138,443,true,CA,N/A,-,,-
40.233.103.212,443,true,CA,N/A,-,,-
72.11.145.117,443,true,CA,N/A,-,,-
40.233.77.216,443,true,CA,N/A,-,,-
40.233.99.248,443,true,CA,N/A,-,,-
40.233.71.238,443,true,CA,N/A,-,,-
68.233.122.42,443,true,CA,N/A,-,,-
140.238.144.211,443,true,CA,N/A,-,,-
91.245.225.69,443,true,CH,N/A,-,,-
91.245.225.17,443,true,CH,N/A,-,,-
152.67.64.55,443,true,CH,N/A,-,,-
185.237.225.95,443,true,CH,N/A,-,,-
83.228.193.177,443,true,CH,N/A,-,,-
83.228.193.188,443,true,CH,N/A,-,,-
140.238.209.8,443,true,CH,N/A,-,,-
176.10.125.114,443,true,CH,N/A,-,,-
38.180.85.203,443,true,CH,N/A,-,,-
83.228.193.162,443,true,CH,N/A,-,,-
82.22.36.103,443,true,CH,N/A,-,,-
140.238.208.210,443,true,CH,N/A,-,,-
107.189.30.77,443,true,CH,N/A,-,,-
152.67.85.239,443,true,CH,N/A,-,,-
84.234.17.132,443,true,CH,N/A,-,,-
194.156.102.142,443,true,CH,N/A,-,,-
45.85.93.49,443,true,CH,N/A,-,,-
82.38.64.162,443,true,CH,N/A,-,,-
83.228.193.229,443,true,CH,N/A,-,,-
146.70.71.157,443,true,CH,N/A,-,,-
45.143.200.141,443,true,CH,N/A,-,,-
171.22.16.201,443,true,CH,N/A,-,,-
84.234.16.169,443,true,CH,N/A,-,,-
193.228.128.182,443,true,CH,N/A,-,,-
87.120.222.207,443,true,CH,N/A,-,,-
185.218.204.205,443,true,CH,N/A,-,,-
213.176.18.232,443,true,CH,N/A,-,,-
45.143.200.211,443,true,CH,N/A,-,,-
87.120.222.26,443,true,CH,N/A,-,,-
38.180.84.40,443,true,CH,N/A,-,,-
45.143.200.245,443,true,CH,N/A,-,,-
